user_id,time_of_day,country,device_type,failed_logins_last_hour,action_type,is_vpn,typing_speed,label
103,19,KSA,desktop,1,update_mobile,0,4.68589045643792,0
271,3,KSA,desktop,1,pay,0,3.7377664306171443,0
107,5,KSA,mobile,0,renew_passport,0,3.564289167615263,0
72,6,KSA,mobile,0,view,0,3.9671255148475657,0
189,17,KSA,desktop,0,renew_passport,0,4.040307699330248,0
21,4,KSA,mobile,0,pay,0,4.89493006156556,0
103,19,KSA,mobile,0,update_mobile,0,4.5910905313252215,0
122,2,HighRiskCountry,mobile,0,renew_passport,0,3.8435907212071974,0
215,6,KSA,desktop,0,update_mobile,0,4.763668149718995,0
88,21,KSA,mobile,0,renew_passport,0,4.400737253691613,0
100,13,KSA,mobile,1,pay,0,3.573400363713963,0
152,6,KSA,desktop,0,renew_passport,0,3.875281841763514,0
131,4,KSA,mobile,0,update_mobile,0,3.851777111156879,0
150,21,KSA,mobile,0,update_mobile,0,4.505261343174202,0
258,4,KSA,desktop,1,pay,1,3.632977385278358,0
294,22,Unknown,mobile,1,renew_passport,0,3.6095908135783668,1
192,1,HighRiskCountry,mobile,1,view,0,5.9687573094339585,0
277,20,KSA,mobile,0,renew_passport,0,4.939735481747104,0
161,21,KSA,mobile,1,pay,0,3.239399335574861,0
22,5,HighRiskCountry,mobile,1,view,0,4.570940993942198,0
253,14,KSA,mobile,0,pay,0,4.118350065655177,0
236,20,Unknown,mobile,0,renew_passport,0,4.391551175260094,0
49,9,KSA,desktop,0,view,0,4.137341324565105,0
59,22,KSA,mobile,2,pay,1,5.189642645485236,0
170,23,KSA,mobile,0,update_mobile,0,4.345620344651445,0
188,6,KSA,mobile,0,view,0,3.9379113017857126,0
271,4,KSA,desktop,1,view,0,5.0421905769830175,0
190,0,KSA,mobile,0,pay,0,4.233285041087872,0
175,12,KSA,mobile,1,update_mobile,0,4.121478579329058,0
51,20,KSA,mobile,0,view,0,4.314022602486115,0
55,17,KSA,mobile,1,pay,1,3.9063909766336335,0
244,12,HighRiskCountry,mobile,0,view,0,4.009226992995469,0
131,20,KSA,desktop,0,view,0,3.4133054112381274,0
135,20,Unknown,mobile,0,view,1,3.248832780376121,0
21,17,KSA,mobile,0,update_mobile,0,3.00142961351756,0
167,4,KSA,mobile,1,renew_passport,1,2.608016713202924,1
274,12,HighRiskCountry,desktop,2,renew_passport,0,3.1202826386154436,0
89,3,KSA,mobile,0,update_mobile,1,3.8257329655330743,0
14,16,KSA,mobile,0,update_mobile,0,4.103117582445637,0
242,2,KSA,mobile,2,pay,0,3.7287034368523595,0
265,16,KSA,mobile,1,view,1,1.644296509872642,0
53,10,KSA,mobile,1,update_mobile,0,5.5745863577623425,0
92,20,HighRiskCountry,mobile,0,pay,0,5.086480122890382,0
264,19,KSA,mobile,1,renew_passport,0,4.445759851217129,0
35,22,KSA,mobile,0,renew_passport,0,5.907490672553268,0
206,20,KSA,mobile,0,renew_passport,0,3.0226358825162896,0
81,3,KSA,mobile,0,renew_passport,0,5.887625120626005,0
50,1,KSA,mobile,0,pay,0,3.0347859232494523,0
2,19,KSA,desktop,1,view,0,4.238737925291357,0
54,15,KSA,desktop,0,pay,0,2.7261626748657957,0
106,17,KSA,desktop,1,view,0,4.014694095544367,0
260,7,KSA,desktop,0,renew_passport,0,4.3861664979983885,0
191,2,KSA,mobile,2,update_mobile,0,3.845309668865445,0
218,8,KSA,desktop,1,update_mobile,1,4.713877444090137,0
